id_actividad;descripcion_actividad
466311;Comercio al por menor de alfombras, cortinas, tapices y similares
464122;Comercio al por menor de artículos ortopédicos
466114;Comercio al por menor de cristalería, loza y utensilios de cocina
466319;Comercio al por menor de otros artículos para la decoración de interiores
465216;Comercio al por menor de instrumentos musicales
468213;Comercio al por menor de llantas y cámaras para automóviles, camionetas y camiones
463112;Comercio al por menor de blancos
465312;Comercio al por menor de libros
467116;Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas
464112;Farmacias con minisúper
468412;Comercio al por menor de gas L. P. en cilindros y para tanques estacionarios
466313;Comercio al por menor de antigüedades y obras de arte
468419;Comercio al por menor de otros combustibles
469110;Comercio al por menor exclusivamente a través de Internet, y catálogos impresos, televisión y similares
465211;Comercio al por menor de discos y casetes
463212;Comercio al por menor de ropa de bebé
465213;Comercio al por menor de bicicletas
465214;Comercio al por menor de equipo y material fotográfico
463113;Comercio al por menor de artículos de mercería y bonetería
468319;Comercio al por menor de otros vehículos de motor
466314;Comercio al por menor de lámparas ornamentales y candiles
468414;Comercio al por menor en estaciones de gas natural vehicular
465313;Comercio al por menor de revistas y periódicos
468413;Comercio al por menor de gas L. P. en estaciones de carburación
466113;Comercio al por menor de muebles para jardín
463217;Comercio al por menor de pañales desechables
488492;Servicios de administración de carreteras, puentes y servicios auxiliares
484129;Otro autotransporte foráneo de carga general
488511;Servicios de agencias aduanales
488519;Otros servicios de intermediación para el transporte de carga
484119;Otro autotransporte local de carga general
485210;Transporte colectivo foráneo de pasajeros de ruta fija
482110;Transporte por ferrocarril
488310;Administración de puertos y muelles
484111;Autotransporte local de productos agrícolas sin refrigeración
481111;Transporte aéreo regular en líneas aéreas nacionales
488112;Administración de aeropuertos y helipuertos
488111;Servicios a la navegación aérea
485320;Alquiler de automóviles con chofer
485510;Alquiler de autobuses con chofer
488990;Otros servicios relacionados con el transporte
487110;Transporte turístico por tierra
484239;Otro autotransporte foráneo de carga especializado
484210;Servicios de mudanzas
488410;Servicios de grúa
485111;Transporte colectivo urbano y suburbano de pasajeros en autobuses de ruta fija
484229;Otro autotransporte local de carga especializado
485410;Transporte escolar y de personal
488491;Servicios de administración de centrales camioneras
484223;Autotransporte local con refrigeración
484233;Autotransporte foráneo con refrigeración
484231;Autotransporte foráneo de materiales para la construcción
484232;Autotransporte foráneo de materiales y residuos peligrosos
484121;Autotransporte foráneo de productos agrícolas sin refrigeración
484221;Autotransporte local de materiales para la construcción
488190;Otros servicios relacionados con el transporte aéreo
488390;Otros servicios relacionados con el transporte por agua
487210;Transporte turístico por agua
488493;Servicios de báscula para el transporte y otros servicios relacionados con el transporte por carretera
488320;Servicios de carga y descarga para el transporte por agua
488330;Servicios para la navegación por agua
483112;Transporte marítimo de cabotaje, excepto de petróleo y gas natural
486210;Transporte de gas natural por ductos
484222;Autotransporte local de materiales y residuos peligrosos
485990;Otro transporte terrestre de pasajeros
486910;Transporte por ductos de productos refinados del petróleo
483113;Transporte marítimo de petróleo y gas natural
485115;Transporte colectivo urbano y suburbano de pasajeros en autobuses que transitan en carril exclusivo
484224;Autotransporte local de madera
483111;Transporte marítimo de altura, excepto de petróleo y gas natural
483210;Transporte por aguas interiores
481210;Transporte aéreo no regular
492110;Servicios de mensajería y paquetería foránea
493119;Otros servicios de almacenamiento general sin instalaciones especializadas
493130;Almacenamiento de productos agrícolas que no requieren refrigeración
493190;Otros servicios de almacenamiento con instalaciones especializadas
492210;Servicios de mensajería y paquetería local
493120;Almacenamiento con refrigeración
491110;Servicios postales
493111;Almacenes generales de depósito
516110;Estaciones de transmisión de programas de radio
519211;Bibliotecas y archivos del sector privado
517311;Operadores de servicios de telecomunicaciones alámbricas
512240;Grabación de discos compactos (CD) y de video digital (DVD) o casetes musicales
517910;Otros servicios de telecomunicaciones
516210;Servicios de distribución de audio y video en tiempo real (streaming), redes sociales, cadenas de radio y televisión y otros proveedores de contenido
517312;Operadores de servicios de telecomunicaciones inalámbricas
512290;Otros servicios de grabación del sonido
519212;Bibliotecas y archivos del sector público
517410;Operadores de servicios de telecomunicaciones vía satélite
513192;Edición de otros materiales integrada con la impresión
512112;Producción de programas para la televisión
512113;Producción de videoclips, comerciales y otros materiales audiovisuales
513121;Edición de revistas y otras publicaciones periódicas en formato electrónico
513112;Edición de periódicos integrada con la impresión
513132;Edición de libros integrada con la impresión
512130;Exhibición de películas y otros materiales audiovisuales
513111;Edición de periódicos en formato electrónico
518210;Procesamiento electrónico de información, hospedaje y otros servicios relacionados
513131;Edición de libros en formato electrónico
512250;Productoras y distribuidoras discográficas
513191;Edición de otros materiales en formato electrónico
513210;Edición de software
512230;Editoras de música
519290;Portales de búsqueda en la red y otros servicios de suministro de información
516120;Estaciones de transmisión de programas de televisión
524210;Agentes, ajustadores y gestores de seguros y fianzas
522452;Casas de empeño
522320;Cajas de ahorro popular
522110;Banca múltiple
523110;Casas de bolsa
523122;Centros cambiarios
523910;Asesoría en inversiones
524130;Compañías afianzadoras
524110;Compañías de seguros
524220;Administración de cajas de pensión y de seguros independientes
522220;Fondos y fideicomisos financieros
522490;Otras instituciones de intermediación crediticia y financiera no bursátil
522390;Otras instituciones de ahorro y préstamo
522460;Sociedades financieras de objeto múltiple
522310;Uniones de crédito
522440;Compañías de autofinanciamiento
522510;Servicios relacionados con la intermediación crediticia no bursátil
521110;Banca central
522210;Banca de desarrollo
522451;Montepíos
524120;Fondos de aseguramiento campesino
523990;Otros servicios relacionados con la intermediación bursátil
523121;Casas de cambio
531210;Inmobiliarias y corredores de bienes raíces
531113;Alquiler sin intermediación de salones para fiestas y convenciones
532492;Alquiler de maquinaria y equipo para mover, levantar y acomodar materiales
532310;Centros generales de alquiler
531319;Otros servicios relacionados con los servicios inmobiliarios
531114;Alquiler sin intermediación de oficinas y locales comerciales
531311;Servicios de administración de bienes raíces
531119;Alquiler sin intermediación de otros bienes raíces
531111;Alquiler sin intermediación de viviendas amuebladas
532282;Alquiler de mesas, sillas, vajillas y similares
532110;Alquiler de automóviles sin chofer
532281;Alquiler de prendas de vestir
531112;Alquiler sin intermediación de viviendas no amuebladas
532411;Alquiler de maquinaria y equipo para construcción, minería y actividades forestales
531116;Alquiler sin intermediación de edificios industriales dentro de un parque industrial
532493;Alquiler de maquinaria y equipo comercial y de servicios
532289;Alquiler de otros artículos para el hogar y personales
532122;Alquiler de autobuses, minibuses y remolques sin chofer
532420;Alquiler de equipo de cómputo y de otras máquinas y mobiliario de oficina
531115;Alquiler sin intermediación de teatros, estadios, auditorios y similares
533110;Servicios de alquiler de marcas registradas, patentes y franquicias
532121;Alquiler de camiones de carga sin chofer
532491;Alquiler de maquinaria y equipo agropecuario, pesquero y para la industria manufacturera
532210;Alquiler de aparatos eléctricos y electrónicos para el hogar y personales
541941;Servicios veterinarios para mascotas prestados por el sector privado
541920;Servicios de fotografía y videograbación
541510;Servicios de diseño de sistemas de cómputo y servicios relacionados
541110;Bufetes jurídicos
541310;Servicios de arquitectura
541610;Servicios de consultoría en administración
541330;Servicios de ingeniería
541219;Otros servicios relacionados con la contabilidad
541430;Diseño gráfico
541190;Servicios de apoyo para efectuar trámites legales
541211;Servicios de contabilidad y auditoría
541690;Otros servicios de consultoría científica y técnica
541810;Agencias de publicidad
541890;Servicios de rotulación y otros servicios de publicidad
541380;Laboratorios de pruebas
541120;Notarías públicas
541620;Servicios de consultoría en medio ambiente
541340;Servicios de dibujo
541930;Servicios de traducción e interpretación
541420;Diseño industrial
541490;Diseño de modas y otros diseños especializados
541350;Servicios de inspección de edificios
541370;Servicios de elaboración de mapas
541990;Otros servicios profesionales, científicos y técnicos
541711;Servicios de investigación científica y desarrollo en ciencias naturales y exactas, ingeniería, y ciencias de la vida, prestados por el sector privado
541850;Agencias de anuncios publicitarios
541360;Servicios de levantamiento geofísico
541410;Diseño y decoración de interiores
541860;Agencias de correo directo
541942;Servicios veterinarios para mascotas prestados por el sector público
541870;Distribución de material publicitario
541910;Servicios de investigación de mercados y encuestas de opinión pública
541712;Servicios de investigación científica y desarrollo en ciencias naturales y exactas, ingeniería, y ciencias de la vida, prestados por el sector público
541320;Servicios de arquitectura de paisaje y urbanismo
541721;Servicios de investigación científica y desarrollo en ciencias sociales y humanidades, prestados por el sector privado
541840;Agencias de representación de medios
551111;Corporativos
551112;Tenedoras de acciones
561610;Servicios de investigación y de protección y custodia, excepto mediante monitoreo
562921;Recuperación de residuos por el sector privado
561422;Servicios de recepción de llamadas telefónicas y promoción por teléfono
561510;Agencias de viajes
561432;Servicios de acceso a computadoras
561110;Servicios de administración de negocios
561330;Suministro de personal permanente
561910;Servicios de empacado y etiquetado
562121;Recolección de residuos no peligrosos por el sector privado
561440;Agencias de cobranza
561320;Agencias de empleo temporal
561620;Servicios de protección y custodia mediante el monitoreo de sistemas de seguridad
561210;Servicios combinados de apoyo en instalaciones
561310;Agencias de colocación
561431;Servicios de fotocopiado, fax y afines
561421;Servicios de casetas telefónicas
561490;Otros servicios de apoyo secretarial y similares
562221;Tratamiento y disposición final de residuos no peligrosos por el sector privado
561740;Servicios de limpieza de tapicería, alfombras y muebles
561920;Organizadores de convenciones y ferias comerciales e industriales
561790;Otros servicios de limpieza
562112;Manejo de desechos no peligrosos y servicios de remediación a zonas dañadas por desechos no peligrosos
561720;Servicios de limpieza de inmuebles
561710;Servicios de control y exterminación de plagas
561990;Otros servicios de apoyo a los negocios
562211;Tratamiento y disposición final de residuos peligrosos por el sector privado
562998;Otros servicios de manejo de residuos por el sector privado
562111;Manejo de residuos peligrosos y servicios de remediación a zonas dañadas por materiales o residuos peligrosos
562122;Recolección de residuos no peligrosos por el sector público
561590;Otros servicios de reservaciones
561450;Despachos de investigación de solvencia financiera
561520;Organización de excursiones y paquetes turísticos para agencias de viajes
561410;Servicios de preparación de documentos
562911;Servicios de remediación de residuos por el sector privado
561730;Servicios de instalación y mantenimiento de áreas verdes
611621;Escuelas de deporte del sector privado
611698;Otros servicios educativos proporcionados por el sector privado
611112;Escuelas de educación preescolar del sector público
611611;Escuelas de arte del sector privado
611412;Escuelas comerciales y secretariales del sector público
611511;Escuelas del sector privado dedicadas a la enseñanza de oficios
611171;Escuelas del sector privado que combinan diversos niveles de educación
611631;Escuelas de idiomas del sector privado
611212;Escuelas de educación técnica superior del sector público
611111;Escuelas de educación preescolar del sector privado
611161;Escuelas de educación media superior del sector privado
611312;Escuelas de educación superior del sector público
611691;Servicios de profesores particulares
611122;Escuelas de educación primaria del sector público
611181;Escuelas del sector privado de educación para necesidades especiales
611182;Escuelas del sector público de educación para necesidades especiales
611311;Escuelas de educación superior del sector privado
611211;Escuelas de educación técnica superior del sector privado
611411;Escuelas comerciales y secretariales del sector privado
611162;Escuelas de educación media superior del sector público
611132;Escuelas de educación secundaria general del sector público
611142;Escuelas de educación secundaria técnica del sector público
611121;Escuelas de educación primaria del sector privado
611151;Escuelas de educación media técnica terminal del sector privado
611512;Escuelas del sector público dedicadas a la enseñanza de oficios
611172;Escuelas del sector público que combinan diversos niveles de educación
611431;Escuelas para la capacitación de ejecutivos del sector privado
611699;Otros servicios educativos proporcionados por el sector público
611622;Escuelas de deporte del sector público
611131;Escuelas de educación secundaria general del sector privado
611421;Escuelas de computación del sector privado
611141;Escuelas de educación secundaria técnica del sector privado
611152;Escuelas de educación media técnica terminal del sector público
611422;Escuelas de computación del sector público
611710;Servicios de apoyo a la educación
621331;Consultorios de psicología del sector privado
621113;Consultorios de medicina especializada del sector privado
621211;Consultorios dentales del sector privado
624191;Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones
623221;Residencias del sector privado para el cuidado de personas con problemas de trastorno mental y adicción
621511;Laboratorios médicos y de diagnóstico del sector privado
621391;Consultorios de nutriólogos y dietistas del sector privado
623991;Orfanatos y otras residencias de asistencia social del sector privado
624121;Centros del sector privado dedicados a la atención y cuidado diurno de ancianos y discapacitados
623311;Asilos y otras residencias del sector privado para el cuidado de ancianos
621398;Otros consultorios del sector privado para el cuidado de la salud
621111;Consultorios de medicina general del sector privado
621341;Consultorios del sector privado de audiología y de terapia ocupacional, física y del lenguaje
621421;Centros del sector privado de atención médica externa para enfermos mentales y adictos
622111;Hospitales generales del sector privado
621910;Servicios de ambulancias
624411;Guarderías del sector privado
621311;Consultorios de quiropráctica del sector privado
624221;Refugios temporales comunitarios del sector privado
624222;Refugios temporales comunitarios del sector público
623992;Orfanatos y otras residencias de asistencia social del sector público
623111;Residencias del sector privado con cuidados de enfermeras para enfermos convalecientes, en rehabilitación, incurables y terminales
624211;Servicios de alimentación comunitarios prestados por el sector privado
624199;Otros servicios de orientación y trabajo social prestados por el sector público
622112;Hospitales generales del sector público
621320;Consultorios de optometría
621491;Otros centros del sector privado para la atención de pacientes que no requieren hospitalización
623211;Residencias del sector privado para el cuidado de personas con problemas de retardo mental
621115;Clínicas de consultorios médicos del sector privado
624111;Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector privado
621610;Servicios de enfermería a domicilio
624231;Servicios de emergencia comunitarios prestados por el sector privado
622311;Hospitales del sector privado de otras especialidades médicas
622211;Hospitales psiquiátricos y para el tratamiento por adicción del sector privado
624212;Servicios de alimentación comunitarios prestados por el sector público
621991;Servicios de bancos de órganos, bancos de sangre y otros servicios auxiliares al tratamiento médico prestados por el sector privado
624232;Servicios de emergencia comunitarios prestados por el sector público
624112;Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público
621112;Consultorios de medicina general del sector público
621116;Clínicas de consultorios médicos del sector público
624198;Otros servicios de orientación y trabajo social prestados por el sector privado
624122;Centros del sector público dedicados a la atención y cuidado diurno de ancianos y discapacitados
624412;Guarderías del sector público
624311;Servicios de capacitación para el trabajo prestados por el sector privado para personas desempleadas, subempleadas o discapacitadas
624312;Servicios de capacitación para el trabajo prestados por el sector público para personas desempleadas, subempleadas o discapacitadas
621399;Otros consultorios del sector público para el cuidado de la salud
621412;Centros de planificación familiar del sector público
621332;Consultorios de psicología del sector público
623312;Asilos y otras residencias del sector público para el cuidado de ancianos
621342;Consultorios del sector público de audiología y de terapia ocupacional, física y del lenguaje
621422;Centros del sector público de atención médica externa para enfermos mentales y adictos
621411;Centros de planificación familiar del sector privado
621212;Consultorios dentales del sector público
622312;Hospitales del sector público de otras especialidades médicas
622212;Hospitales psiquiátricos y para el tratamiento por adicción del sector público
621512;Laboratorios médicos y de diagnóstico del sector público
623212;Residencias del sector público para el cuidado de personas con problemas de retardo mental
623112;Residencias del sector público con cuidados de enfermeras para enfermos convalecientes, en rehabilitación, incurables y terminales
621492;Otros centros del sector público para la atención de pacientes que no requieren hospitalización
713943;Centros de acondicionamiento físico del sector privado
713941;Clubes deportivos del sector privado
713291;Venta de billetes de lotería, pronósticos deportivos y otros boletos de sorteo
713113;Parques acuáticos y balnearios del sector privado
711212;Equipos deportivos profesionales
713120;Casas de juegos electrónicos
711311;Promotores del sector privado de espectáculos artísticos, culturales, deportivos y similares que cuentan con instalaciones para presentarlos
711131;Cantantes y grupos musicales del sector privado
712111;Museos del sector privado
713998;Otros servicios recreativos prestados por el sector privado
713111;Parques de diversiones y temáticos del sector privado
711510;Artistas, escritores y técnicos independientes
712112;Museos del sector público
711312;Promotores del sector público de espectáculos artísticos, culturales, deportivos y similares que cuentan con instalaciones para presentarlos
713299;Otros juegos de azar
713950;Boliches
713112;Parques de diversiones y temáticos del sector público
713991;Billares
711111;Compañías de teatro del sector privado
713992;Clubes o ligas de aficionados
713944;Centros de acondicionamiento físico del sector público
711121;Compañías de danza del sector privado
711191;Otras compañías y grupos de espectáculos artísticos del sector privado
711320;Promotores de espectáculos artísticos, culturales, deportivos y similares que no cuentan con instalaciones para presentarlos
711211;Deportistas profesionales
712131;Jardines botánicos y zoológicos del sector privado
713999;Otros servicios recreativos prestados por el sector público
713942;Clubes deportivos del sector público
712132;Jardines botánicos y zoológicos del sector público
722514;Restaurantes con servicio de preparación de tacos y tortas
722516;Restaurantes de autoservicio
722518;Restaurantes que preparan otro tipo de alimentos para llevar
722515;Cafeterías, fuentes de sodas, neverías, refresquerías y similares
721111;Hoteles con otros servicios integrados
722511;Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
722412;Bares, cantinas y similares
722512;Restaurantes con servicio de preparación de pescados y mariscos
722517;Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar
722519;Servicios de preparación de otros alimentos para consumo inmediato
722310;Servicios de comedor para empresas e instituciones
722330;Servicios de preparación de alimentos en unidades móviles
721112;Hoteles sin otros servicios integrados
722320;Servicios de preparación de alimentos para ocasiones especiales
721190;Cabañas, villas y similares
721210;Campamentos y albergues recreativos
721113;Moteles
722513;Restaurantes con servicio de preparación de antojitos
722411;Centros nocturnos, discotecas y similares
721312;Departamentos y casas amueblados con servicios de hotelería
721311;Pensiones y casas de huéspedes
811111;Reparación mecánica en general de automóviles y camiones
812110;Salones y clínicas de belleza y peluquerías
813210;Asociaciones y organizaciones religiosas
811115;Reparación de suspensiones de automóviles y camiones
811410;Reparación y mantenimiento de aparatos eléctricos para el hogar y personales
811114;Reparación de transmisiones de automóviles y camiones
811312;Reparación y mantenimiento de maquinaria y equipo industrial
811121;Hojalatería y pintura de automóviles y camiones
811112;Reparación del sistema eléctrico de automóviles y camiones
812210;Lavanderías y tintorerías
811122;Tapicería de automóviles y camiones
811219;Reparación y mantenimiento de otro equipo electrónico y de equipo de precisión
813230;Asociaciones y organizaciones civiles
811491;Cerrajerías
811199;Otros servicios de reparación y mantenimiento de automóviles y camiones
812130;Sanitarios públicos y bolerías
811499;Reparación y mantenimiento de otros artículos para el hogar y personales
811191;Reparación menor de llantas
811129;Instalación de cristales y otras reparaciones a la carrocería de automóviles y camiones
811493;Reparación y mantenimiento de bicicletas
811119;Otras reparaciones mecánicas de automóviles y camiones
811192;Lavado y lubricado de automóviles y camiones
811313;Reparación y mantenimiento de maquinaria y equipo para mover, levantar y acomodar materiales
813110;Asociaciones, organizaciones y cámaras de productores, comerciantes y prestadores de servicios
812410;Estacionamientos y pensiones para vehículos automotores
813120;Asociaciones y organizaciones laborales y sindicales
812990;Otros servicios personales
811430;Reparación de calzado y otros artículos de piel y cuero
812322;Administración de cementerios pertenecientes al sector público
811113;Rectificación de partes de motor de automóviles y camiones
811116;Alineación y balanceo de automóviles y camiones
811311;Reparación y mantenimiento de maquinaria y equipo agropecuario y forestal
811314;Reparación y mantenimiento de maquinaria y equipo comercial y de servicios
811420;Reparación de tapicería de muebles para el hogar
813130;Asociaciones y organizaciones de profesionistas
812910;Servicios de revelado e impresión de fotografías
811211;Reparación y mantenimiento de equipo electrónico de uso doméstico
813140;Asociaciones regulatorias de actividades recreativas
811492;Reparación y mantenimiento de motocicletas
812120;Baños públicos
812310;Servicios funerarios
811123;Servicios de blindaje y de adaptación de automóviles y camiones
812321;Administración de cementerios pertenecientes al sector privado
931210;Administración pública en general
931810;Actividades de seguridad nacional
931610;Actividades administrativas de instituciones de bienestar social
931411;Impartición de justicia
931412;Mantenimiento de la seguridad y el orden público
931310;Regulación y fomento del desarrollo económico
931110;Órganos legislativos
931510;Regulación y fomento de actividades para mejorar y preservar el medio ambiente
932110;Organismos internacionales
931710;Relaciones exteriores
